#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  7.9081e-01   7.9088e-01  -2.3462e-01  -2.3916e-04   9.9492e-05  -2.3350e-20  -1.8798e-04   3.1392e-04   3.2667e+05   7.3003e+07   3.7098e+05
  8.0785e-01   8.0792e-01  -2.1331e-01   2.2149e-04   1.0074e-04  -1.2105e-20  -1.8498e-04   3.0845e-04   3.3912e+05   7.5624e+07   3.8464e+05
  8.2526e-01   8.2533e-01  -1.9199e-01  -2.3573e-04   4.5396e-05   6.7229e-21   2.7550e-05   3.0178e-04   3.5387e+05   7.8992e+07   4.0176e+05
  8.4305e-01   8.4314e-01  -1.7065e-01   3.1563e-04   3.6378e-05   4.1383e-20   9.2795e-05   2.9559e-04   3.6849e+05   8.2331e+07   4.1867e+05
  8.6122e-01   8.6129e-01  -1.4934e-01   1.5091e-04  -1.3562e-04   1.0182e-20  -1.6656e-04   2.8971e-04   3.8405e+05   8.5709e+07   4.3596e+05
  8.7978e-01   8.7986e-01  -1.2802e-01   2.1214e-04   4.7673e-06   8.3778e-21  -1.7561e-04   2.8387e-04   3.9926e+05   8.9281e+07   4.5395e+05
  8.9874e-01   8.9882e-01  -1.0669e-01   1.7843e-04   4.1535e-04  -1.2726e-22   7.9388e-05   2.7883e-04   4.1455e+05   9.2529e+07   4.7068e+05
  9.1811e-01   9.1821e-01  -8.5357e-02   1.9439e-04   2.8334e-04  -1.7344e-20   1.0004e-04   2.7324e-04   4.3242e+05   9.6359e+07   4.9060e+05
  9.3790e-01   9.3799e-01  -6.4034e-02  -8.9220e-05   4.8751e-05   1.2613e-20   1.5787e-05   2.6814e-04   4.4868e+05   1.0006e+08   5.0941e+05
  9.5811e-01   9.5817e-01  -4.2742e-02  -7.0923e-06  -1.2856e-04   1.3617e-21  -1.3154e-05   2.6290e-04   4.6621e+05   1.0408e+08   5.2951e+05
  9.7876e-01   9.7887e-01  -2.1377e-02   2.6058e-04   4.2444e-05  -1.2208e-20  -6.5981e-05   2.5773e-04   4.8540e+05   1.0831e+08   5.5103e+05
  9.9985e-01   9.9994e-01  -7.1542e-05   2.3516e-04  -5.4306e-05   3.5955e-20   1.0043e-04   2.5246e-04   5.0610e+05   1.1287e+08   5.7467e+05
  1.0214e+00   1.0215e+00   2.1256e-02   7.8648e-05   1.2346e-04  -1.2299e-20  -1.5316e-04   2.4763e-04   5.2616e+05   1.1732e+08   5.9738e+05
  1.0434e+00   1.0435e+00   4.2561e-02   2.3981e-04  -8.2499e-05  -6.7566e-20   1.4508e-04   2.4292e-04   5.4638e+05   1.2191e+08   6.2042e+05
  1.0659e+00   1.0660e+00   6.3865e-02   1.5219e-04  -2.5273e-04  -3.9936e-20   1.6302e-04   2.3808e-04   5.6952e+05   1.2692e+08   6.4633e+05
  1.0889e+00   1.0890e+00   8.5214e-02   6.7797e-05   2.4568e-04   5.4758e-20  -1.0265e-04   2.3367e-04   5.9211e+05   1.3176e+08   6.7119e+05
  1.1123e+00   1.1124e+00   1.0652e-01   2.4998e-04  -2.1438e-04   2.3240e-20   1.2619e-04   2.2875e-04   6.1760e+05   1.3749e+08   7.0055e+05
  1.1363e+00   1.1364e+00   1.2787e-01   1.8454e-04   6.4284e-05  -3.8065e-20  -1.4291e-04   2.2451e-04   6.4102e+05   1.4272e+08   7.2664e+05
  1.1608e+00   1.1609e+00   1.4919e-01   2.1744e-04  -9.7288e-05  -5.7414e-20   7.4006e-05   2.2011e-04   6.6757e+05   1.4848e+08   7.5648e+05
  1.1858e+00   1.1859e+00   1.7051e-01   2.7215e-04  -1.7182e-04  -2.5105e-20  -4.8991e-05   2.1580e-04   6.9500e+05   1.5449e+08   7.8699e+05
  1.2114e+00   1.2115e+00   1.9184e-01   1.0573e-04  -5.5512e-05  -1.0476e-20  -1.6711e-05   2.1165e-04   7.2203e+05   1.6060e+08   8.1846e+05
  1.2375e+00   1.2376e+00   2.1316e-01   1.6022e-04   4.1062e-05   7.6409e-21  -9.8028e-05   2.0734e-04   7.5206e+05   1.6734e+08   8.5251e+05
  1.2642e+00   1.2643e+00   2.3446e-01  -1.0073e-04   1.5760e-04  -1.4274e-20  -7.2982e-05   2.0328e-04   7.8267e+05   1.7408e+08   8.8698e+05
  1.2914e+00   1.2915e+00   2.5580e-01   1.3907e-05   1.3380e-04   8.4422e-22   3.8505e-04   1.9930e-04   8.1413e+05   1.8112e+08   9.2277e+05
