 1.773641830850e-02  1.773641830850e-02  4.420000000000e+02  1.424000000000e+03  1.405000000000e+03  7.300000000000e+02  8.360000000000e+02  1.773641830850e-02  3.930000000000e+02  9.000000000000e+02  1.875000000000e+03  1.161000000000e+03  1.082000000000e+03  1.123722324013e+04  2.022176911205e+04  2.953496180923e+04  1.886559164439e+04  1.844806996739e+04  4.925522602750e+04  6.126200862958e+04  3.712029124192e+04  3.634609367790e+04  1.003893992415e+05  6.088795698165e+04  5.746025176088e+04  4.446350740866e+04  4.122316216808e+04  4.278528279522e+04 
 5.320925492549e-02  5.320925492549e-02  4.460000000000e+02  1.511000000000e+03  1.544000000000e+03  8.890000000000e+02  9.070000000000e+02  5.320925492549e-02  3.820000000000e+02  9.400000000000e+02  2.030000000000e+03  1.246000000000e+03  1.053000000000e+03  2.445473979738e+04  4.320389174021e+04  6.452187646983e+04  4.277336960119e+04  4.431816208485e+04  1.028958335445e+05  1.334892539181e+05  8.280817955988e+04  8.586407340575e+04  2.252389083605e+05  1.412296090421e+05  1.415784133628e+05  1.078489689368e+05  1.044741362439e+05  1.169262500414e+05 
 8.868209154249e-02  8.868209154249e-02  4.580000000000e+02  1.573000000000e+03  1.563000000000e+03  8.770000000000e+02  9.410000000000e+02  8.868209154249e-02  4.230000000000e+02  9.880000000000e+02  2.103000000000e+03  1.205000000000e+03  1.161000000000e+03  2.541648917301e+04  4.455717330028e+04  6.703291139106e+04  4.471633254411e+04  4.624682840487e+04  1.078228606077e+05  1.388715772984e+05  8.587662603832e+04  8.996202707626e+04  2.346270120132e+05  1.462719736333e+05  1.475417992282e+05  1.127246378160e+05  1.086314063747e+05  1.212278727154e+05 
 1.241549281595e-01  1.241549281595e-01  4.540000000000e+02  1.577000000000e+03  1.568000000000e+03  9.120000000000e+02  1.005000000000e+03  1.241549281595e-01  4.420000000000e+02  1.031000000000e+03  2.241000000000e+03  1.352000000000e+03  1.199000000000e+03  2.627844173230e+04  4.653041620842e+04  6.968807225820e+04  4.600594480088e+04  4.818706912251e+04  1.119814874111e+05  1.447861831050e+05  9.016345272497e+04  9.361083980623e+04  2.418070540621e+05  1.520769967379e+05  1.536541872119e+05  1.172142330511e+05  1.138419016638e+05  1.263839520111e+05 
 1.596277647765e-01  1.596277647765e-01  5.090000000000e+02  1.643000000000e+03  1.688000000000e+03  9.240000000000e+02  1.034000000000e+03  1.596277647765e-01  4.290000000000e+02  1.063000000000e+03  2.275000000000e+03  1.426000000000e+03  1.260000000000e+03  2.852938470135e+04  4.866747688401e+04  7.292037152904e+04  4.819546982219e+04  5.080856124799e+04  1.162992180988e+05  1.514911340131e+05  9.416634211026e+04  9.826468852784e+04  2.542489084455e+05  1.590950188446e+05  1.598231356324e+05  1.223781897965e+05  1.186444119948e+05  1.317489585256e+05 
 1.951006013935e-01  1.951006013935e-01  5.000000000000e+02  1.715000000000e+03  1.731000000000e+03  9.790000000000e+02  1.111000000000e+03  1.951006013935e-01  4.400000000000e+02  1.081000000000e+03  2.384000000000e+03  1.437000000000e+03  1.290000000000e+03  2.960822597767e+04  5.099657034067e+04  7.625905815194e+04  5.016352061799e+04  5.259384468867e+04  1.209533883464e+05  1.570336126608e+05  9.802193258265e+04  1.025981656248e+05  2.632442529201e+05  1.666348904685e+05  1.673085120814e+05  1.264928529395e+05  1.232553142709e+05  1.371452053895e+05 
 2.305734380105e-01  2.305734380105e-01  5.540000000000e+02  1.820000000000e+03  1.913000000000e+03  1.020000000000e+03  1.136000000000e+03  2.305734380105e-01  4.650000000000e+02  1.072000000000e+03  2.355000000000e+03  1.518000000000e+03  1.354000000000e+03  2.983074657150e+04  5.319636489321e+04  7.920872968961e+04  5.301034636102e+04  5.523556502002e+04  1.264032673027e+05  1.635671593322e+05  1.020111309435e+05  1.069378670824e+05  2.751185366027e+05  1.733111072318e+05  1.735238208620e+05  1.322106588581e+05  1.280197035153e+05  1.428798609829e+05 
 2.660462746275e-01  2.660462746275e-01  5.490000000000e+02  1.897000000000e+03  1.908000000000e+03  1.062000000000e+03  1.115000000000e+03  2.660462746275e-01  5.260000000000e+02  1.165000000000e+03  2.506000000000e+03  1.541000000000e+03  1.382000000000e+03  3.097476678137e+04  5.534223229014e+04  8.208961836907e+04  5.485172856770e+04  5.731206684003e+04  1.306041969699e+05  1.707341521715e+05  1.061849392899e+05  1.106757664746e+05  2.860036156134e+05  1.801000730395e+05  1.811792561043e+05  1.376708477304e+05  1.328301087984e+05  1.475092466292e+05 
 3.015191112445e-01  3.015191112445e-01  5.710000000000e+02  1.917000000000e+03  1.958000000000e+03  1.120000000000e+03  1.195000000000e+03  3.015191112445e-01  5.290000000000e+02  1.200000000000e+03  2.648000000000e+03  1.598000000000e+03  1.524000000000e+03  3.254692762044e+04  5.703076308521e+04  8.633143719751e+04  5.686210724625e+04  5.927583883566e+04  1.364442454492e+05  1.782763005056e+05  1.112193803068e+05  1.156124936997e+05  2.982725486165e+05  1.877792477455e+05  1.887354356641e+05  1.418601904546e+05  1.386851866570e+05  1.541045466141e+05 
 3.369919478615e-01  3.369919478615e-01  6.550000000000e+02  2.029000000000e+03  2.047000000000e+03  1.158000000000e+03  1.338000000000e+03  3.369919478615e-01  5.350000000000e+02  1.302000000000e+03  2.781000000000e+03  1.652000000000e+03  1.516000000000e+03  3.369534968088e+04  5.946804864685e+04  8.992046122200e+04  5.924795225610e+04  6.226106910858e+04  1.416354756945e+05  1.850539225929e+05  1.162987638223e+05  1.214117237963e+05  3.107881771836e+05  1.954291318972e+05  1.967368617637e+05  1.479409361060e+05  1.442463729016e+05  1.619479919224e+05 
