# R.A., Dec., mask
330.292 -27.050 0
330.292 -26.950 0
330.292 -26.850 0
330.292 -26.750 0
330.292 -26.650 0
330.292 -26.550 0
330.292 -26.450 0
330.292 -26.350 0
330.292 -26.250 0
330.292 -26.150 0
330.292 -26.050 0
330.408 -35.950 0
330.408 -35.850 0
330.408 -35.750 0
330.408 -35.650 1
330.408 -35.550 1
330.408 -35.450 1
330.408 -35.350 1
330.408 -35.250 1
330.408 -35.150 1
330.408 -35.050 1
330.408 -34.950 1
330.408 -34.850 1
330.408 -34.750 1
330.408 -34.650 1
330.408 -34.550 1
330.408 -34.450 1
330.408 -34.350 1
330.408 -34.250 1
330.408 -34.150 1
330.408 -34.050 1
330.408 -33.950 1
330.408 -33.850 1
330.408 -33.750 0
330.408 -33.650 0
330.408 -33.550 0
330.408 -33.450 0
330.408 -33.350 0
330.408 -33.250 0
330.408 -33.150 0
330.408 -33.050 0
330.408 -32.950 0
330.408 -32.850 0
330.408 -32.750 0
330.408 -32.650 1
330.408 -32.550 1
330.408 -32.450 1
330.408 -32.350 1
330.408 -32.250 1
330.408 -32.150 1
330.408 -32.050 1
330.408 -31.950 1
330.408 -31.850 1
330.408 -31.750 1
330.408 -31.650 1
330.408 -31.550 1
330.408 -31.450 1
330.408 -31.350 1
330.408 -31.250 1
330.408 -31.150 1
330.408 -31.050 1
330.408 -30.950 1
330.408 -30.850 1
330.408 -30.750 0
330.408 -30.650 0
330.408 -30.550 0
330.408 -30.450 0
330.408 -30.350 0
330.408 -30.250 0
330.408 -30.150 0
330.408 -30.050 0
330.408 -29.950 0
330.408 -29.850 0
330.408 -29.750 0
330.408 -29.650 1
330.408 -29.550 1
330.408 -29.450 1
330.408 -29.350 1
330.408 -29.250 1
330.408 -29.150 1
330.408 -29.050 1
330.408 -28.950 1
330.408 -28.850 1
330.408 -28.750 1
330.408 -28.650 1
330.408 -28.550 1
330.408 -28.450 1
330.408 -28.350 1
330.408 -28.250 1
330.408 -28.150 1
330.408 -28.050 1
330.408 -27.950 1
330.408 -27.850 1
330.408 -27.750 0
330.408 -27.650 0
330.408 -27.550 0
330.408 -27.450 0
330.408 -27.350 0
330.408 -27.250 0
330.408 -27.150 0
330.408 -27.050 0
330.408 -26.950 0
330.408 -26.850 0
330.408 -26.750 0
330.408 -26.650 0
330.408 -26.550 0
330.408 -26.450 0
330.408 -26.350 0
330.408 -26.250 0
330.408 -26.150 0
330.408 -26.050 0
330.525 -35.950 0
330.525 -35.850 0
330.525 -35.750 0
330.525 -35.650 1
330.525 -35.550 1
330.525 -35.450 1
330.525 -35.350 1
330.525 -35.250 1
330.525 -35.150 1
330.525 -35.050 1
330.525 -34.950 1
330.525 -34.850 1
330.525 -34.750 1
330.525 -34.650 1
330.525 -34.550 1
330.525 -34.450 1
330.525 -34.350 1
330.525 -34.250 1
330.525 -34.150 1
330.525 -34.050 1
330.525 -33.950 1
330.525 -33.850 1
330.525 -33.750 0
330.525 -33.650 0
330.525 -33.550 0
330.525 -33.450 0
330.525 -33.350 0
330.525 -33.250 0
330.525 -33.150 0
330.525 -33.050 0
330.525 -32.950 0
330.525 -32.850 0
330.525 -32.750 0
330.525 -32.650 1
330.525 -32.550 1
330.525 -32.450 1
330.525 -32.350 1
330.525 -32.250 1
330.525 -32.150 1
330.525 -32.050 1
330.525 -31.950 1
330.525 -31.850 1
330.525 -31.750 1
330.525 -31.650 1
330.525 -31.550 1
330.525 -31.450 1
330.525 -31.350 1
330.525 -31.250 1
330.525 -31.150 1
330.525 -31.050 1
330.525 -30.950 1
330.525 -30.850 1
330.525 -30.750 0
330.525 -30.650 0
330.525 -30.550 0
330.525 -30.450 0
330.525 -30.350 0
330.525 -30.250 0
330.525 -30.150 0
330.525 -30.050 0
330.525 -29.950 0
330.525 -29.850 0
330.525 -29.750 0
330.525 -29.650 1
330.525 -29.550 1
330.525 -29.450 1
330.525 -29.350 1
330.525 -29.250 1
330.525 -29.150 1
330.525 -29.050 1
330.525 -28.950 1
330.525 -28.850 1
330.525 -28.750 1
330.525 -28.650 1
330.525 -28.550 1
330.525 -28.450 1
330.525 -28.350 1
330.525 -28.250 1
330.525 -28.150 1
330.525 -28.050 1
330.525 -27.950 1
330.525 -27.850 1
330.525 -27.750 0
330.525 -27.650 0
330.525 -27.550 0
330.525 -27.450 0
330.525 -27.350 0
330.525 -27.250 0
330.525 -27.150 0
330.525 -27.050 0
330.525 -26.950 0
330.525 -26.850 0
330.525 -26.750 0
330.525 -26.650 0
330.525 -26.550 0
330.525 -26.450 0
330.525 -26.350 0
330.525 -26.250 0
330.525 -26.150 0
330.525 -26.050 0
330.642 -35.950 0
330.642 -35.850 0
330.642 -35.750 0
330.642 -35.650 1
330.642 -35.550 1
330.642 -35.450 1
330.642 -35.350 1
330.642 -35.250 1
330.642 -35.150 1
330.642 -35.050 1
330.642 -34.950 1
330.642 -34.850 1
330.642 -34.750 1
330.642 -34.650 1
330.642 -34.550 1
330.642 -34.450 1
330.642 -34.350 1
330.642 -34.250 1
330.642 -34.150 1
330.642 -34.050 1
330.642 -33.950 1
330.642 -33.850 1
330.642 -33.750 0
330.642 -33.650 0
330.642 -33.550 0
330.642 -33.450 0
330.642 -33.350 0
330.642 -33.250 0
330.642 -33.150 0
330.642 -33.050 0
330.642 -32.950 0
330.642 -32.850 0
330.642 -32.750 0
330.642 -32.650 1
330.642 -32.550 1
330.642 -32.450 1
330.642 -32.350 1
330.642 -32.250 1
330.642 -32.150 1
330.642 -32.050 1
330.642 -31.950 1
330.642 -31.850 1
330.642 -31.750 1
330.642 -31.650 1
330.642 -31.550 1
330.642 -31.450 1
330.642 -31.350 1
330.642 -31.250 1
330.642 -31.150 1
330.642 -31.050 1
330.642 -30.950 1
330.642 -30.850 1
330.642 -30.750 0
330.642 -30.650 0
330.642 -30.550 0
330.642 -30.450 0
330.642 -30.350 0
330.642 -30.250 0
330.642 -30.150 0
330.642 -30.050 0
330.642 -29.950 0
330.642 -29.850 0
330.642 -29.750 0
330.642 -29.650 1
330.642 -29.550 1
330.642 -29.450 1
330.642 -29.350 1
330.642 -29.250 1
330.642 -29.150 1
330.642 -29.050 1
330.642 -28.950 1
330.642 -28.850 1
330.642 -28.750 1
330.642 -28.650 1
330.642 -28.550 1
330.642 -28.450 1
330.642 -28.350 1
330.642 -28.250 1
330.642 -28.150 1
330.642 -28.050 1
330.642 -27.950 1
330.642 -27.850 1
330.642 -27.750 0
330.642 -27.650 0
330.642 -27.550 0
330.642 -27.450 0
330.642 -27.350 0
330.642 -27.250 0
330.642 -27.150 0
330.642 -27.050 0
330.642 -26.950 0
330.642 -26.850 0
330.642 -26.750 0
330.642 -26.650 0
330.642 -26.550 0
330.642 -26.450 0
330.642 -26.350 0
330.642 -26.250 0
330.642 -26.150 0
330.642 -26.050 0
330.758 -35.950 0
330.758 -35.850 0
330.758 -35.750 0
330.758 -35.650 1
330.758 -35.550 1
330.758 -35.450 1
330.758 -35.350 1
330.758 -35.250 1
330.758 -35.150 1
330.758 -35.050 1
330.758 -34.950 1
330.758 -34.850 1
330.758 -34.750 1
330.758 -34.650 1
330.758 -34.550 1
330.758 -34.450 1
330.758 -34.350 1
330.758 -34.250 1
330.758 -34.150 1
330.758 -34.050 1
330.758 -33.950 1
330.758 -33.850 1
330.758 -33.750 0
330.758 -33.650 0
330.758 -33.550 0
330.758 -33.450 0
330.758 -33.350 0
330.758 -33.250 0
330.758 -33.150 0
330.758 -33.050 0
330.758 -32.950 0
330.758 -32.850 0
330.758 -32.750 0
330.758 -32.650 1
330.758 -32.550 1
330.758 -32.450 1
330.758 -32.350 1
330.758 -32.250 1
330.758 -32.150 1
330.758 -32.050 1
330.758 -31.950 1
330.758 -31.850 1
330.758 -31.750 1
330.758 -31.650 1
330.758 -31.550 1
330.758 -31.450 1
330.758 -31.350 1
330.758 -31.250 1
330.758 -31.150 1
330.758 -31.050 1
330.758 -30.950 1
330.758 -30.850 1
330.758 -30.750 0
330.758 -30.650 0
330.758 -30.550 1
330.758 -30.450 1
330.758 -30.350 1
330.758 -30.250 1
330.758 -30.150 1
330.758 -30.050 1
330.758 -29.950 1
330.758 -29.850 0
330.758 -29.750 0
330.758 -29.650 1
330.758 -29.550 1
330.758 -29.450 1
330.758 -29.350 1
330.758 -29.250 1
330.758 -29.150 1
330.758 -29.050 1
330.758 -28.950 1
330.758 -28.850 1
330.758 -28.750 1
330.758 -28.650 1
330.758 -28.550 1
330.758 -28.450 1
330.758 -28.350 1
330.758 -28.250 1
330.758 -28.150 1
330.758 -28.050 1
330.758 -27.950 1
330.758 -27.850 1
330.758 -27.750 0
330.758 -27.650 0
330.758 -27.550 0
330.758 -27.450 1
330.758 -27.350 1
330.758 -27.250 1
330.758 -27.150 1
330.758 -27.050 1
330.758 -26.950 0
330.758 -26.850 0
330.758 -26.750 0
330.758 -26.650 0
330.758 -26.550 0
330.758 -26.450 0
330.758 -26.350 0
330.758 -26.250 0
330.758 -26.150 0
330.758 -26.050 0
330.875 -35.950 0
330.875 -35.850 0
330.875 -35.750 0
330.875 -35.650 1
330.875 -35.550 1
330.875 -35.450 1
330.875 -35.350 1
330.875 -35.250 1
330.875 -35.150 1
330.875 -35.050 1
330.875 -34.950 1
330.875 -34.850 1
330.875 -34.750 1
330.875 -34.650 1
330.875 -34.550 1
330.875 -34.450 1
330.875 -34.350 1
330.875 -34.250 1
330.875 -34.150 1
330.875 -34.050 1
330.875 -33.950 1
330.875 -33.850 1
330.875 -33.750 0
330.875 -33.650 0
330.875 -33.550 0
330.875 -33.450 0
330.875 -33.350 0
330.875 -33.250 0
330.875 -33.150 0
330.875 -33.050 0
330.875 -32.950 0
330.875 -32.850 0
330.875 -32.750 0
330.875 -32.650 1
330.875 -32.550 1
330.875 -32.450 1
330.875 -32.350 1
330.875 -32.250 1
330.875 -32.150 1
330.875 -32.050 1
330.875 -31.950 1
330.875 -31.850 1
330.875 -31.750 1
330.875 -31.650 1
330.875 -31.550 1
330.875 -31.450 1
330.875 -31.350 1
330.875 -31.250 1
330.875 -31.150 1
330.875 -31.050 1
330.875 -30.950 1
330.875 -30.850 1
330.875 -30.750 1
330.875 -30.650 1
330.875 -30.550 1
330.875 -30.450 1
330.875 -30.350 1
330.875 -30.250 1
330.875 -30.150 1
330.875 -30.050 1
330.875 -29.950 1
330.875 -29.850 1
330.875 -29.750 1
330.875 -29.650 1
330.875 -29.550 1
330.875 -29.450 1
330.875 -29.350 1
330.875 -29.250 1
330.875 -29.150 1
330.875 -29.050 1
330.875 -28.950 1
330.875 -28.850 1
330.875 -28.750 1
330.875 -28.650 1
330.875 -28.550 1
330.875 -28.450 1
330.875 -28.350 1
330.875 -28.250 1
330.875 -28.150 1
330.875 -28.050 1
330.875 -27.950 1
330.875 -27.850 1
330.875 -27.750 1
330.875 -27.650 1
330.875 -27.550 1
330.875 -27.450 1
330.875 -27.350 1
330.875 -27.250 1
330.875 -27.150 1
330.875 -27.050 1
330.875 -26.950 1
330.875 -26.850 1
330.875 -26.750 1
330.875 -26.650 0
330.875 -26.550 0
330.875 -26.450 0
330.875 -26.350 0
330.875 -26.250 0
330.875 -26.150 0
330.875 -26.050 0
330.992 -35.950 0
330.992 -35.850 0
330.992 -35.750 0
330.992 -35.650 1
330.992 -35.550 1
330.992 -35.450 1
330.992 -35.350 1
330.992 -35.250 1
330.992 -35.150 1
330.992 -35.050 1
330.992 -34.950 1
330.992 -34.850 1
330.992 -34.750 1
330.992 -34.650 1
330.992 -34.550 1
330.992 -34.450 1
330.992 -34.350 1
330.992 -34.250 1
330.992 -34.150 1
330.992 -34.050 1
330.992 -33.950 1
330.992 -33.850 1
330.992 -33.750 0
330.992 -33.650 0
330.992 -33.550 0
330.992 -33.450 0
330.992 -33.350 0
330.992 -33.250 0
330.992 -33.150 0
330.992 -33.050 0
330.992 -32.950 0
330.992 -32.850 0
330.992 -32.750 0
330.992 -32.650 1
330.992 -32.550 1
330.992 -32.450 1
330.992 -32.350 1
330.992 -32.250 1
330.992 -32.150 1
330.992 -32.050 1
330.992 -31.950 1
330.992 -31.850 1
330.992 -31.750 1
330.992 -31.650 1
330.992 -31.550 1
330.992 -31.450 1
330.992 -31.350 1
330.992 -31.250 1
330.992 -31.150 1
330.992 -31.050 1
330.992 -30.950 1
330.992 -30.850 1
330.992 -30.750 1
330.992 -30.650 1
330.992 -30.550 1
330.992 -30.450 1
330.992 -30.350 1
330.992 -30.250 1
330.992 -30.150 1
330.992 -30.050 1
330.992 -29.950 1
330.992 -29.850 1
330.992 -29.750 1
330.992 -29.650 1
330.992 -29.550 1
330.992 -29.450 1
330.992 -29.350 1
330.992 -29.250 1
330.992 -29.150 1
330.992 -29.050 1
330.992 -28.950 1
330.992 -28.850 1
330.992 -28.750 1
330.992 -28.650 1
330.992 -28.550 1
330.992 -28.450 1
330.992 -28.350 1
330.992 -28.250 1
330.992 -28.150 1
330.992 -28.050 1
330.992 -27.950 1
330.992 -27.850 1
330.992 -27.750 1
330.992 -27.650 1
330.992 -27.550 1
330.992 -27.450 1
330.992 -27.350 1
330.992 -27.250 1
330.992 -27.150 1
330.992 -27.050 1
330.992 -26.950 1
330.992 -26.850 1
330.992 -26.750 1
330.992 -26.650 1
330.992 -26.550 0
330.992 -26.450 0
330.992 -26.350 0
330.992 -26.250 0
330.992 -26.150 0
330.992 -26.050 0
331.109 -35.950 0
331.109 -35.850 0
331.109 -35.750 0
331.109 -35.650 1
331.109 -35.550 1
331.109 -35.450 1
331.109 -35.350 1
331.109 -35.250 1
331.109 -35.150 1
331.109 -35.050 1
331.109 -34.950 1
331.109 -34.850 1
331.109 -34.750 1
331.109 -34.650 1
331.109 -34.550 1
331.109 -34.450 1
331.109 -34.350 1
331.109 -34.250 1
331.109 -34.150 1
331.109 -34.050 1
331.109 -33.950 1
331.109 -33.850 0
331.109 -33.750 0
331.109 -33.650 0
331.109 -33.550 0
331.109 -33.450 0
331.109 -33.350 0
331.109 -33.250 0
331.109 -33.150 0
331.109 -33.050 0
331.109 -32.950 0
331.109 -32.850 0
331.109 -32.750 0
331.109 -32.650 0
331.109 -32.550 1
331.109 -32.450 1
331.109 -32.350 1
331.109 -32.250 1
331.109 -32.150 1
331.109 -32.050 1
331.109 -31.950 1
331.109 -31.850 1
331.109 -31.750 1
331.109 -31.650 1
331.109 -31.550 1
331.109 -31.450 1
331.109 -31.350 1
331.109 -31.250 1
331.109 -31.150 1
331.109 -31.050 1
331.109 -30.950 1
331.109 -30.850 1
331.109 -30.750 1
331.109 -30.650 1
331.109 -30.550 1
331.109 -30.450 1
331.109 -30.350 1
331.109 -30.250 1
331.109 -30.150 1
331.109 -30.050 1
331.109 -29.950 1
331.109 -29.850 1
331.109 -29.750 1
331.109 -29.650 1
331.109 -29.550 1
331.109 -29.450 1
331.109 -29.350 1
331.109 -29.250 1
331.109 -29.150 1
331.109 -29.050 1
331.109 -28.950 1
331.109 -28.850 1
331.109 -28.750 1
331.109 -28.650 1
331.109 -28.550 1
331.109 -28.450 1
331.109 -28.350 1
331.109 -28.250 1
331.109 -28.150 1
331.109 -28.050 1
331.109 -27.950 1
331.109 -27.850 1
331.109 -27.750 1
331.109 -27.650 1
331.109 -27.550 1
331.109 -27.450 1
331.109 -27.350 1
331.109 -27.250 1
331.109 -27.150 1
331.109 -27.050 1
331.109 -26.950 1
331.109 -26.850 1
331.109 -26.750 1
331.109 -26.650 1
331.109 -26.550 1
331.109 -26.450 0
331.109 -26.350 0
331.109 -26.250 0
331.109 -26.150 0
331.109 -26.050 0
331.225 -35.950 0
331.225 -35.850 0
331.225 -35.750 0
331.225 -35.650 1
331.225 -35.550 1
331.225 -35.450 1
331.225 -35.350 1
331.225 -35.250 1
331.225 -35.150 1
331.225 -35.050 1
331.225 -34.950 1
331.225 -34.850 1
331.225 -34.750 1
331.225 -34.650 1
331.225 -34.550 1
331.225 -34.450 1
331.225 -34.350 1
331.225 -34.250 1
331.225 -34.150 1
331.225 -34.050 1
331.225 -33.950 1
331.225 -33.850 0
331.225 -33.750 0
331.225 -33.650 0
331.225 -33.550 0
331.225 -33.450 0
331.225 -33.350 0
331.225 -33.250 0
331.225 -33.150 0
331.225 -33.050 0
331.225 -32.950 0
331.225 -32.850 0
331.225 -32.750 0
